iter	MultiClass
0	1.07553569
1	1.053628748
2	1.032811033
3	1.013147499
4	0.994224148
5	0.9762297411
6	0.9592101825
7	0.9429674738
8	0.9273635212
9	0.9124088008
10	0.8980184562
11	0.884104393
12	0.8709460371
13	0.8582111059
14	0.8460594075
15	0.8343218957
16	0.8229350475
17	0.8120442899
18	0.8015192433
19	0.7914991444
20	0.7818466612
21	0.772373224
22	0.763269212
23	0.7544613402
24	0.746049798
25	0.7378092067
26	0.7298834696
27	0.7222133969
28	0.7148307501
29	0.7074974838
30	0.7005165477
31	0.6937837521
32	0.6873220016
33	0.6808333467
34	0.6746170702
35	0.6685059356
36	0.6626325607
37	0.6569091368
38	0.6514148061
39	0.645991189
40	0.6407728558
41	0.6356904261
42	0.630711043
43	0.6259073727
44	0.6212898911
45	0.6167910751
46	0.6123654965
47	0.6080161553
48	0.6037554799
49	0.5997567546
50	0.5958018384
51	0.5919421594
52	0.5881936698
53	0.5844573231
54	0.5809369267
55	0.5774085304
56	0.5741037987
57	0.5707283057
58	0.5674434786
59	0.5642095558
60	0.561079632
61	0.5580911832
62	0.5551821145
63	0.5522683316
64	0.5495397852
65	0.5468957617
66	0.5441856436
67	0.5415027158
68	0.5389418821
69	0.5365149995
70	0.5340794979
71	0.5317187576
72	0.529336827
73	0.5270452289
74	0.5247650593
75	0.5225715555
76	0.5204842889
77	0.5184548313
78	0.5164245165
79	0.5142977264
80	0.5122906019
81	0.5102777632
82	0.5083526379
83	0.5065601305
84	0.5048347653
85	0.5029922584
86	0.50135394
87	0.4996792886
88	0.4979169714
89	0.4962137013
90	0.4945778591
91	0.4931117773
92	0.4916333622
93	0.4900631861
94	0.48849401
95	0.4870701182
96	0.485774892
97	0.484383238
98	0.4829934412
99	0.4816402155
100	0.4803769413
101	0.4790274775
102	0.4778696785
103	0.4765435002
104	0.4753774632
105	0.4742829494
106	0.473087627
107	0.471941828
108	0.4707658863
109	0.4695452308
110	0.468560716
111	0.4674371549
112	0.4663059271
113	0.4652361274
114	0.4641854703
115	0.4632818595
116	0.4622937733
117	0.4613684961
118	0.4603440292
119	0.459420371
120	0.4585516647
121	0.457648911
122	0.4566443964
123	0.455829261
124	0.4548549842
125	0.4539082786
126	0.4529928584
127	0.4522361034
128	0.4513719684
129	0.4505312618
130	0.449729031
131	0.4490090376
132	0.4481912832
133	0.4474051475
134	0.4465709647
135	0.4458405904
136	0.4451855488
137	0.4443785562
138	0.4436762769
139	0.4429225219
140	0.4422295758
141	0.441543963
142	0.4407847319
143	0.4401335474
144	0.4394233157
145	0.4387469886
146	0.4380591854
147	0.4373743821
148	0.4368071016
149	0.4361050604
150	0.4355288752
151	0.4349476424
152	0.4344688849
153	0.4339357469
154	0.4332536103
155	0.4327574243
156	0.4321800486
157	0.4315601019
158	0.4310928205
159	0.4304890641
160	0.4299511643
161	0.4294518355
162	0.4288350316
163	0.4283037984
164	0.4277577557
165	0.4271641421
166	0.4266314327
167	0.4260747235
168	0.4255559663
169	0.4250447805
170	0.4245909752
171	0.4240990749
172	0.4235792701
173	0.4231583692
174	0.4227259922
175	0.422203378
176	0.4217710962
177	0.4212162441
178	0.4207957242
179	0.420391585
180	0.4199866363
181	0.4195687354
182	0.4191505487
183	0.418739981
184	0.4183513179
185	0.4179516549
186	0.4174930401
187	0.4169677115
188	0.4164775255
189	0.4160849101
190	0.4156942946
191	0.4151906802
192	0.414762065
193	0.4143183548
194	0.4139016919
195	0.4134852196
196	0.4130743186
197	0.4126546081
