iter	Passed	Remaining
406	6332	9226
407	6347	9209
408	6362	9193
409	6377	9177
410	6391	9159
411	6406	9143
412	6422	9127
413	6437	9111
414	6451	9093
415	6465	9077
416	6482	9062
417	6497	9047
418	6512	9030
419	6527	9014
420	6543	8999
421	6558	8983
422	6573	8966
423	6588	8950
424	6602	8932
425	6620	8921
426	6636	8905
427	6650	8887
428	6665	8871
429	6679	8854
430	6694	8837
431	6708	8820
432	6726	8807
433	6743	8794
434	6759	8779
435	6774	8762
436	6788	8745
437	6803	8730
438	6818	8713
439	6833	8697
440	6848	8681
441	6862	8663
442	6877	8647
443	6893	8631
444	6908	8615
445	6923	8600
446	6940	8586
447	6956	8571
448	6971	8555
449	6986	8539
450	7002	8523
451	7018	8509
452	7036	8496
453	7051	8480
454	7067	8464
455	7082	8449
456	7098	8434
457	7113	8418
458	7130	8403
459	7145	8387
460	7159	8370
461	7174	8354
462	7190	8340
463	7206	8324
464	7221	8308
465	7237	8293
466	7252	8277
467	7267	8261
468	7282	8244
469	7296	8228
470	7311	8211
471	7325	8195
472	7339	8177
473	7355	8162
474	7370	8146
475	7384	8129
476	7399	8113
477	7415	8097
478	7429	8081
479	7445	8066
480	7462	8051
481	7477	8035
482	7491	8018
483	7505	8001
484	7521	7986
485	7536	7971
486	7552	7955
487	7567	7940
488	7583	7924
489	7597	7907
490	7613	7892
491	7630	7879
492	7646	7863
493	7661	7847
494	7676	7831
495	7692	7816
496	7708	7801
497	7725	7787
498	7740	7771
499	7755	7755
500	7769	7738
501	7784	7722
502	7799	7706
503	7813	7689
504	7828	7673
505	7842	7656
506	7858	7641
507	7872	7624
508	7890	7611
509	7904	7594
510	7920	7579
511	7935	7563
512	7949	7546
513	7965	7531
514	7981	7516
515	7997	7501
516	8012	7485
517	8026	7469
518	8041	7452
519	8056	7436
520	8071	7421
521	8087	7405
522	8100	7388
523	8115	7372
524	8131	7356
525	8145	7340
526	8159	7323
527	8173	7306
528	8189	7291
529	8204	7275
530	8218	7258
531	8233	7243
532	8248	7226
533	8263	7210
534	8277	7194
535	8294	7180
536	8309	7164
537	8324	7148
538	8339	7132
539	8354	7116
540	8369	7100
541	8383	7084
542	8398	7068
543	8413	7052
544	8428	7036
545	8442	7019
546	8457	7004
547	8472	6988
548	8487	6972
549	8502	6956
550	8518	6941
551	8533	6925
552	8547	6909
553	8563	6893
554	8580	6879
